iter	Passed	Remaining
668	21170	10474
669	21195	10439
670	21222	10405
671	21248	10371
672	21274	10336
673	21300	10302
674	21327	10268
675	21354	10234
676	21381	10201
677	21411	10169
678	21448	10139
679	21473	10105
680	21499	10071
681	21527	10037
682	21556	10004
683	21582	9970
684	21608	9936
685	21635	9902
686	21661	9869
687	21688	9835
688	21714	9801
689	21740	9767
690	21767	9733
691	21794	9700
692	21821	9667
693	21848	9633
694	21874	9599
695	21901	9566
696	21929	9533
697	21955	9499
698	21982	9466
699	22013	9434
700	22039	9400
701	22066	9367
702	22096	9335
703	22131	9305
704	22164	9274
705	22194	9242
706	22224	9210
707	22256	9179
708	22288	9148
709	22315	9114
710	22341	9081
711	22368	9047
712	22398	9015
713	22423	8982
714	22449	8948
715	22475	8915
716	22501	8881
717	22528	8848
718	22557	8815
719	22584	8782
720	22609	8749
721	22636	8715
722	22662	8682
723	22688	8649
724	22714	8615
725	22741	8582
726	22767	8549
727	22793	8516
728	22819	8482
729	22854	8452
730	22880	8419
731	22906	8386
732	22932	8353
733	22959	8320
734	22984	8287
735	23011	8254
736	23037	8221
737	23064	8188
738	23090	8155
739	23116	8121
740	23144	8089
741	23170	8056
742	23199	8024
743	23234	7994
744	23266	7963
745	23295	7931
746	23322	7898
747	23349	7866
748	23378	7834
749	23403	7801
750	23432	7769
751	23459	7736
752	23485	7703
753	23511	7670
754	23537	7637
755	23567	7606
756	23594	7573
757	23620	7541
758	23646	7508
759	23677	7477
760	23704	7444
761	23730	7411
762	23756	7379
763	23783	7346
764	23809	7313
765	23835	7281
766	23864	7249
767	23890	7217
768	23916	7184
769	23943	7151
770	23969	7119
771	23995	7086
772	24021	7054
773	24047	7021
774	24074	6989
775	24115	6961
776	24141	6928
777	24170	6897
778	24196	6864
779	24223	6832
780	24249	6799
781	24275	6767
782	24307	6736
783	24343	6706
784	24382	6677
785	24412	6646
786	24438	6614
787	24464	6581
788	24490	6549
789	24533	6521
790	24561	6489
791	24591	6458
792	24617	6426
793	24643	6393
794	24669	6361
795	24694	6328
796	24721	6296
797	24747	6264
798	24773	6232
799	24798	6199
800	24824	6167
801	24851	6135
802	24878	6103
803	24904	6071
804	24931	6039
805	24956	6006
806	24982	5974
807	25009	5942
808	25035	5910
809	25061	5878
810	25088	5846
811	25114	5814
812	25141	5782
813	25167	5750
814	25194	5719
815	25219	5686
816	25246	5654
817	25271	5622
818	25298	5590
819	25330	5560
820	25362	5529
821	25399	5500
822	25434	5470
823	25468	5439
824	25498	5408
825	25524	5376
826	25550	5344
827	25580	5313
828	25606	5281
829	25633	5250
830	25659	5218
831	25685	5186
832	25711	5154
833	25737	5122
834	25764	5091
835	25790	5059
836	25816	5027
837	25842	4995
838	25869	4964
839	25895	4932
840	25921	4900
841	25947	4868
842	25973	4837
843	26000	4805
844	26027	4774
845	26053	4742
846	26080	4711
847	26106	4679
848	26133	4647
849	26159	4616
850	26186	4584
851	26212	4553
852	26238	4521
853	26264	4490
854	26289	4458
855	26315	4426
856	26341	4395
857	26372	4364
858	26399	4333
859	26426	4301
860	26452	4270
861	26479	4239
862	26508	4208
863	26543	4178
864	26580	4148
865	26607	4117
866	26640	4086
867	26666	4055
868	26692	4023
869	26718	3992
870	26744	3961
871	26770	3929
872	26796	3898
873	26823	3866
874	26849	3835
875	26875	3804
876	26915	3774
877	26941	3743
878	26967	3712
879	26993	3680
880	27020	3649
881	27046	3618
882	27072	3587
883	27098	3555
884	27125	3524
885	27151	3493
886	27177	3462
887	27204	3431
888	27230	3399
889	27257	3368
890	27282	3337
891	27321	3308
892	27348	3276
893	27379	3246
894	27411	3215
895	27442	3185
896	27468	3154
897	27495	3123
898	27521	3091
899	27548	3060
900	27578	3030
901	27607	2999
902	27643	2969
903	27676	2939
904	27705	2908
905	27732	2877
906	27758	2846
907	27784	2815
908	27810	2784
909	27837	2753
910	27863	2722
911	27890	2691
912	27916	2660
913	27942	2629
914	27968	2598
915	27994	2567
916	28021	2536
917	28048	2505
918	28074	2474
919	28100	2443
920	28126	2412
921	28152	2381
922	28179	2350
923	28205	2319
924	28231	2289
925	28258	2258
926	28299	2228
927	28333	2198
928	28371	2168
929	28404	2137
930	28442	2107
931	28478	2077
932	28513	2047
933	28547	2017
934	28584	1987
935	28617	1956
936	28651	1926
937	28685	1896
938	28723	1865
939	28763	1835
940	28802	1805
941	28835	1775
942	28868	1744
943	28902	1714
944	28936	1684
945	28968	1653
946	29001	1623
947	29035	1592
948	29070	1562
949	29103	1531
950	29135	1501
951	29168	1470
952	29201	1440
953	29235	1409
954	29285	1379
955	29317	1349
956	29351	1318
957	29391	1288
958	29428	1258
959	29477	1228
960	29531	1198
961	29564	1167
962	29594	1137
963	29620	1106
964	29646	1075
965	29672	1044
966	29698	1013
967	29723	982
968	29749	951
969	29776	920
970	29803	890
971	29838	859
972	29871	828
973	29902	798
974	29928	767
975	29956	736
976	29982	705
977	30009	675
978	30049	644
979	30076	613
980	30115	583
981	30141	552
982	30167	521
983	30193	490
984	30219	460
985	30245	429
986	30272	398
987	30299	368
988	30325	337
989	30354	306
990	30387	275
991	30413	245
992	30440	214
993	30483	184
994	30508	153
995	30535	122
996	30564	91
997	30591	61
998	30617	30
999	30650	0
